"Feature","True_Beta","Lasso_Prim","Lasso_Comb","TransCox"
"X1",0,0,0.51985504233824,0
"X2",0,0,-0.554215264427103,-0.10075897435967
"X3",0,0,0.464829893421335,0
"X4",0,0,0,0.0612311948160746
"X5",0,0,0.0162714969771366,0
"X6",0,0,0,0
"X7",0,0,0,0
"X8",0,0,-0.020424699905936,0
"X9",0,0,0,0
"X10",0,0,0,0
"X11",0,0,0,0
"X12",0,0,0.00429542594714351,0.0183123672158532
"X13",0,0,0,0
"X14",-0.277920567377037,0,0,0
"X15",0,0,0,-0.0596182879047893
"X16",0,0,0,0
"X17",0,0,0,0
"X18",0,0,0,0
"X19",0,0,0,0
"X20",0,0,-0.0396976248462048,0
"X21",0,0,0,0
"X22",0,0,0,0
"X23",0,0,0,0
"X24",0,0,0,0
"X25",0,0,0,-0.0180308208087792
"X26",0.893456568401539,0.0932392926942865,-0.0229537410279568,0
"X27",0,0,0.02258282381015,0
"X28",0,0,0,0
"X29",0,0,0,0.0259252724076883
"X30",0,0,0,0
"X31",0,0,0,0
"X32",0,0,0,0
"X33",0,0,0,0
"X34",0,0,0,0
"X35",0,0,0,-0.0932051112056118
"X36",0,0,0,0
"X37",0,0,0,0
"X38",0,0,0.0378764602905317,0
"X39",0,0,0,0
"X40",0,0,-0.0695700118462981,0
"X41",0,0,0,0
"X42",0,0,0,0
"X43",0.24892523911462,0,-0.113114984125288,0.00591337369054201
"X44",0,0,0,0
"X45",0,0,0,-0.0468561851506082
"X46",0,0,0,0
"X47",0,0,0,0
"X48",0,0,0,0
"X49",0,0,0,0
"X50",-0.983308578314819,0,-0.448722958588205,-0.443801260821177
"X51",0,0,0,0
"X52",0,0,0,0
"X53",0,0,0,0
"X54",0,0,0,0
"X55",0,0,0,0
"X56",0,0,0,0
"X57",0,0,0,0
"X58",0,0,0,0
"X59",0,0,0,0
"X60",0,0,0,0
"X61",0,0,0,0
"X62",0,0,0,0
"X63",0,0,0,0
"X64",0,0,0,0
"X65",0,0,0,0
