"Method","C_index","AUC_Median","IBS","MSE","F1","Precision","Recall","Selected_Num","Simulation_ID"
"Lasso (Primary)",0.59395860346732,0.617262795443225,0.195070746516652,0.0186479875247217,0.28,0.233333333333333,0.35,30,1
"Lasso (Combined)",0.642174518561206,0.654263291782786,0.203388091355449,0.0145002149798609,0.549019607843137,0.451612903225806,0.7,31,1
"TransCox-Sparse",0.67396628727849,0.699134622480279,0.188359450612328,0.0166332943224332,0.341463414634146,0.333333333333333,0.35,21,1
"Lasso (Primary)",0.622916329503156,0.63045406490321,0.186008262590297,0.0278016999217363,0.173913043478261,0.666666666666667,0.1,3,2
"Lasso (Combined)",0.673248098397799,0.666179966212428,0.172046003782511,0.0190202266605939,0.5,0.428571428571429,0.6,28,2
"TransCox-Sparse",0.728650806495118,0.773943894925855,0.158932125407251,0.0222464628443231,0.266666666666667,0.24,0.3,25,2
"Lasso (Primary)",0.673006712990225,0.708402191991265,0.161061475972822,0.0140681219081369,0.307692307692308,0.315789473684211,0.3,19,3
"Lasso (Combined)",0.622541514544812,0.614300524577078,0.211600363725132,0.0164075490831935,0.388888888888889,0.269230769230769,0.7,52,3
"TransCox-Sparse",0.627664586032269,0.618184029819318,0.174944702017852,0.0140008978163272,0.390243902439024,0.380952380952381,0.4,21,3
"Lasso (Primary)",0.72841460301251,0.776247060933846,0.154785452263547,0.0097334383634304,0.391304347826087,0.346153846153846,0.45,26,4
"Lasso (Combined)",0.606893030380393,0.590721311818213,0.210113432298354,0.014942596309296,0.535714285714286,0.416666666666667,0.75,36,4
"TransCox-Sparse",0.559101353076334,0.535857386903438,0.212413340444597,0.0160221764563734,0.228571428571429,0.266666666666667,0.2,15,4
"Lasso (Primary)",0.676751008434177,0.685439597011962,0.180169573534051,0.0149677435313125,0.382978723404255,0.333333333333333,0.45,27,5
"Lasso (Combined)",0.566067717882899,0.637548360514754,0.23448434314871,0.0287953616585372,0.406779661016949,0.307692307692308,0.6,39,5
"TransCox-Sparse",0.588742207554089,0.632036668977143,0.210814181913263,0.0222616285112985,0.333333333333333,0.285714285714286,0.4,28,5
"Lasso (Primary)",0.603232692894175,0.646813597676989,0.192592912311757,0.0244609994630009,0.307692307692308,0.666666666666667,0.2,6,6
"Lasso (Combined)",0.662854528819762,0.727284141140328,0.193035012370753,0.0176058126478973,0.52,0.433333333333333,0.65,30,6
"TransCox-Sparse",0.593473620006099,0.66111569887702,0.200064387699422,0.0221394977883853,0.333333333333333,0.5,0.25,10,6
"Lasso (Primary)",0.742598187311178,0.770510959846913,0.147502002552203,0.0203821815593014,0.458333333333333,0.392857142857143,0.55,28,7
"Lasso (Combined)",0.754639620198533,0.793068299537447,0.145476256012665,0.0242065104791875,0.653846153846154,0.53125,0.85,32,7
"TransCox-Sparse",0.694173500215796,0.721098191371946,0.193081429216505,0.0320481869300782,0.436363636363636,0.342857142857143,0.6,35,7
